time_period,time_identifier,geographic_level,country_code,country_name,version,sex,disadvantage,ethnicity_minor,sen,number_of_students_potential,number_of_students_level3,number_of_students_alev,number_of_students_acad,number_of_students_agen,number_of_students_tlev,aps_per_entry_alev,aps_per_entry_grade_alev,aps_per_entry_acad,aps_per_entry_grade_acad,aps_per_entry_agen,aps_per_entry_grade_agen,aps_per_entry_tlev,aps_per_entry_grade_tlev,pc_achieving_atleast_two_substantial_lev3,pc_achieving_atleast_two_alev,pc_achieving_atleast_two_substantial_lev3_acad,entered_for_one_or_more_alev_or_applied,aps_per_entry_best3,aps_per_entry_grade_best3,pc_achieving_3_astar_to_a_alev,pc_achieving_aab_or_better_alev,entered_for_one_or_more_alev,pc_achieving_aab_or_better_atleast_two_facilitating_alev,entered_any_level3_vocational_excluding_applied_generals,pc_level3_vocational_students_entered_tech_levels,entered_any_level3_vocational_excluding_tech_levels,pc_level3_vocational_students_entered_applied_generals,number_of_students_highest_entry_was_l2,pc_level2_vocational_students_entered_technicalcertificate,number_of_students_technicalcertificate,aps_per_entry_technicalcertificate,aps_per_entry_grade_technicalcertificate
202324,Academic year,National,E92000001,England,Revised,Female,Disadvantaged,All,All,66429,33823,21395,21837,16072,3275,30.7691,C,30.7985,C,28.3311,Merit+,25.2536,Merit,85.365,79.205,78.046,13970,31.3882,C,7.215,13.443,13970,8.475,11531,28.419,23866,67.443,10879,8.99,1192,5.5163,L2Merit-
202223,Academic year,National,E92000001,England,Revised,Female,Disadvantaged,All,All,64501,31782,21072,21474,14990,3063,30.4476,C,30.5211,C,28.6892,Merit+,25.7716,Merit,89.563,80.258,79.203,14101,30.765,C,6.078,12.382,14101,7.425,10331,29.649,21895,68.605,5286,8.4,479,5.482,L2Pass+
202122,Academic year,National,E92000001,England,Revised,Female,Disadvantaged,All,All,65300,32750,21113,21456,15419,3358,34.0592,C+,34.1122,C+,30.9684,Dist-,27.8163,Merit+,94.388,82.12,81.278,14223,34.2005,C+,10.567,19.314,14223,10.68,9803,34.255,21529,71.638,1994,8.375,172,5.791,L2Merit-
202021,Academic year,National,E92000001,England,Final,Female,Disadvantaged,All,All,50396,28391,20496,20930,11245,2600,37.4321,B-,37.4529,B-,32.2366,Dist-,29.2053,Merit+,89.479,82.958,81.71,14564,36.9422,B-,15.744,26.463,14564,15.271,11815,22.023,19724,57.179,5053,9.163,521,5.5493,L2Merit-
202425,Academic year,National,E92000001,England,Provisional,Male,Disadvantaged,All,All,66082,24219,14699,15203,12130,2755,30.3207,C,30.2835,C,27.0702,Merit+,27.3234,Merit+,84.087,78.237,76.215,10030,30.9674,C,9.651,16.062,10030,12.612,10679,25.817,19917,62.238,13676,10.61,1600,5.5389,L2Merit-
202324,Academic year,National,E92000001,England,Revised,Male,Disadvantaged,All,All,66107,26408,15505,15978,12645,3057,29.2991,C,29.2552,C,26.0317,Merit,26.4703,Merit,82.986,77.594,75.742,10551,30.0679,C,8.852,14.378,10551,11.885,10797,28.313,20206,64.026,12774,10.333,1469,5.4558,L2Pass+
202223,Academic year,National,E92000001,England,Revised,Male,Disadvantaged,All,All,65109,25205,15386,15871,12210,3407,29.1817,C,29.1949,C,26.5221,Merit,27.0038,Merit+,86.36,77.701,75.767,10484,29.6366,C,8.689,14.327,10484,11.055,10466,32.553,19266,64.964,8271,9.757,837,5.6393,L2Merit-
202122,Academic year,National,E92000001,England,Revised,Male,Disadvantaged,All,All,64247,24014,14478,14847,11588,3172,32.5983,C+,32.5938,C+,28.6512,Merit+,28.1951,Merit+,91.88,80.584,79.053,9958,32.9631,C+,12.141,19.713,9958,14.531,9715,32.651,17875,64.917,3377,8.262,282,5.6908,L2Merit-
202021,Academic year,National,E92000001,England,Final,Male,Disadvantaged,All,All,45194,19775,13602,14103,8166,2039,35.3049,B-,35.2722,B-,28.5919,Merit+,29.0406,Merit+,87.171,81.951,79.487,9905,35.015,B-,15.931,24.796,9905,19.122,10635,19.191,16401,50.887,4929,7.912,429,5.281,L2Pass+
202425,Academic year,National,E92000001,England,Provisional,All,Non-Disadvantaged,All,All,428010,282616,222404,226464,101991,18833,35.6238,B-,35.705,B-,30.3676,Dist-,29.4354,Merit+,92.573,86.572,85.707,165742,36.3645,B-,15.848,25.649,165742,18.56,70808,26.621,151470,68.149,47142,10.961,5973,5.6251,L2Merit-
202324,Academic year,National,E92000001,England,Revised,All,Non-Disadvantaged,All,All,416216,287302,221518,225658,97717,20347,35.0474,B-,35.1242,B-,29.6447,Merit+,28.7397,Merit+,91.675,86.602,85.671,167002,35.7264,B-,15.494,24.804,167002,18.115,68395,29.755,143862,68.827,42021,11.385,5665,5.6917,L2Merit-
202223,Academic year,National,E92000001,England,Revised,All,Non-Disadvantaged,All,All,408045,273466,216794,220507,92289,21099,34.8195,C+,34.9248,C+,30.0993,Dist-,29.0965,Merit+,93.837,87.251,86.432,164637,35.3352,B-,14.598,23.819,164637,16.785,65165,32.39,135107,69.341,23962,9.377,2430,5.7243,L2Merit-
202122,Academic year,National,E92000001,England,Revised,All,Non-Disadvantaged,All,All,405363,269760,211910,215120,89552,21564,38.5507,B,38.6109,B,32.548,Dist-,31.2972,Dist-,96.69,88.501,87.893,161628,38.9422,B,21.694,33.157,161628,21.996,62730,34.387,128322,69.854,9724,8.937,892,5.9518,L2Merit
202021,Academic year,National,E92000001,England,Final,All,Non-Disadvantaged,All,All,342117,241052,199914,204024,67466,15906,41.0887,B,41.1315,B,33.2658,Dist-,32.3859,Dist-,93.369,88.999,87.959,158936,40.8567,B,26.73,39.401,158936,26.878,77296,20.587,125231,54.55,20933,9.975,2314,5.7099,L2Merit-
202425,Academic year,National,E92000001,England,Provisional,Female,Non-Disadvantaged,All,All,213630,151103,121154,123043,54661,8322,36.1471,B-,36.2719,B-,31.5627,Dist-,29.3803,Merit+,93.217,86.998,86.331,89251,36.8571,B-,14.86,25.433,89251,16.596,35206,23.652,79577,68.834,19698,8.838,2210,5.6448,L2Merit-
202324,Academic year,National,E92000001,England,Revised,Female,Non-Disadvantaged,All,All,208033,152860,120511,122393,52108,9453,35.7548,B-,35.8775,B-,31.011,Dist-,28.7847,Merit+,92.507,87.008,86.347,89801,36.4112,B-,14.896,25.052,89801,16.723,33928,27.871,74984,69.712,16949,10.673,2318,5.7354,L2Merit-
202223,Academic year,National,E92000001,England,Revised,Female,Non-Disadvantaged,All,All,202466,145896,118264,119899,48953,9111,35.5235,B-,35.672,B-,31.4234,Dist-,29.3796,Merit+,94.715,87.878,87.338,89145,36.029,B-,14.041,24.035,89145,15.342,30791,29.59,69283,70.843,8063,8.545,796,5.7698,L2Merit-
202122,Academic year,National,E92000001,England,Revised,Female,Non-Disadvantaged,All,All,202311,145635,116663,118203,48332,9682,39.3525,B,39.438,B,33.9351,Dist,31.5418,Dist-,97.33,88.921,88.479,88365,39.7332,B,21.746,34.386,88365,20.502,29274,33.077,66616,72.58,3280,10.884,366,6.0099,L2Merit
202021,Academic year,National,E92000001,England,Final,Female,Non-Disadvantaged,All,All,174858,131571,110395,112275,36090,8045,42.1588,B+,42.2283,B+,35.1601,Dist,32.951,Dist-,94.043,89.545,88.811,87513,41.8949,B+,27.872,41.901,87513,26.022,37405,21.508,63089,57.422,9023,11.903,1203,5.7583,L2Merit-
202425,Academic year,National,E92000001,England,Provisional,Male,Non-Disadvantaged,All,All,214369,131513,101250,103421,47330,10511,35.0108,B-,35.0385,B-,29.057,Merit+,29.4847,Merit+,91.834,86.062,84.964,76491,35.7897,B-,17.001,25.901,76491,20.852,35601,29.558,71892,67.393,27442,12.485,3763,5.6132,L2Merit-
202324,Academic year,National,E92000001,England,Revised,Male,Non-Disadvantaged,All,All,208175,134440,101005,103263,45609,10894,34.2209,C+,34.2406,C+,28.1729,Merit+,28.6956,Merit+,90.73,86.118,84.87,77201,34.9298,C+,16.189,24.517,77201,19.735,34466,31.611,68877,67.864,25068,11.86,3344,5.6596,L2Merit-
202223,Academic year,National,E92000001,England,Revised,Male,Non-Disadvantaged,All,All,205575,127570,98530,100608,43336,11988,33.986,C+,34.0373,C+,28.6795,Merit+,28.8504,Merit+,92.832,86.5,85.353,75492,34.516,C+,15.255,23.564,75492,18.489,34374,34.898,65824,67.759,15899,9.799,1634,5.7018,L2Merit-
202122,Academic year,National,E92000001,England,Revised,Male,Non-Disadvantaged,All,All,203045,124125,95247,96917,41220,11882,37.582,B-,37.6086,B-,30.9745,Dist-,31.0662,Dist-,95.939,87.987,87.178,73263,37.9883,B-,21.63,31.675,73263,23.796,33455,35.534,61705,66.912,6442,7.932,525,5.9095,L2Merit
202021,Academic year,National,E92000001,England,Final,Male,Non-Disadvantaged,All,All,167256,109481,89519,91749,31376,7861,39.7837,B,39.7889,B,31.1695,Dist-,31.7216,Dist-,92.559,88.325,86.916,71423,39.5847,B,25.329,36.338,71423,27.927,39891,19.724,62142,51.635,11910,8.514,1111,5.6546,L2Merit-
202425,Academic year,National,E92000001,England,Provisional,All,Unknown disadvantaged status,All,All,24483,6306,3924,4198,2608,513,32.0147,C+,32.1539,C+,30.3218,Dist-,30.0603,Dist-,73.057,74.108,71.582,2674,32.6702,C+,12.266,20.232,2674,15.782,2185,23.478,4243,62.197,3231,4.983,187,5.9344,L2Merit
202324,Academic year,National,E92000001,England,Revised,All,Unknown disadvantaged status,All,All,20378,6272,4003,4236,2200,491,33.4098,C+,33.3973,C+,29.8252,Merit+,30.8925,Dist-,72.848,74.944,73.843,2851,33.96,C+,14.591,23.676,2851,17.608,1898,25.869,3587,62.253,2310,6.277,161,5.8806,L2Merit
202223,Academic year,National,E92000001,England,Revised,All,Unknown disadvantaged status,All,All,16148,4099,2739,2898,1460,300,34.6118,C+,34.6769,C+,29.6758,Merit+,31.289,Dist-,78.409,81.636,80.366,2072,34.8423,C+,14.961,23.842,2072,19.257,1261,23.791,2429,60.766,1682,5.172,98,5.7932,L2Merit-
202122,Academic year,National,E92000001,England,Revised,All,Unknown disadvantaged status,All,All,14442,3330,2222,2384,1107,256,37.9527,B-,38.2254,B-,32.3268,Dist-,32.4609,Dist-,84.204,86.184,85.612,1795,37.5729,B-,22.006,32.312,1795,22.396,1060,24.151,1881,58.852,943,5.62,55,5.9198,L2Merit
202021,Academic year,National,E92000001,England,Final,All,Unknown disadvantaged status,All,All,12790,3897,2915,3150,973,262,39.5873,B,39.6866,B,30.9599,Dist-,31.7555,Dist-,69.258,69.503,69.079,1825,40.2338,B,25.589,37.753,1825,26.411,1543,16.98,2245,44.009,1280,6.016,83,5.9302,L2Merit
202425,Academic year,National,E92000001,England,Provisional,Female,Unknown disadvantaged status,All,All,9867,3470,2263,2421,1330,269,32.369,C+,32.6104,C+,32.6814,Dist-,30.1621,Dist-,72.795,73.442,70.962,1510,33.0552,C+,10.993,19.669,1510,14.106,1171,22.972,2201,60.654,1430,4.476,78,6.2388,L2Merit+
202324,Academic year,National,E92000001,England,Revised,Female,Unknown disadvantaged status,All,All,8628,3419,2260,2390,1129,253,34.2716,C+,34.3077,C+,31.3631,Dist-,31.2217,Dist-,72.858,74.823,74.059,1592,34.8995,C+,13.693,23.116,1592,15.892,1052,24.049,1897,59.989,1070,6.168,74,6.0722,L2Merit
202223,Academic year,National,E92000001,England,Revised,Female,Unknown disadvantaged status,All,All,6941,2280,1576,1662,787,159,34.372,C+,34.5035,C+,31.1439,Dist-,31.7899,Dist-,78.553,80.901,79.783,1179,34.1815,C+,12.468,21.544,1179,16.37,672,23.661,1291,61.193,789,5.577,50,5.9382,L2Merit
202122,Academic year,National,E92000001,England,Revised,Female,Unknown disadvantaged status,All,All,6420,1844,1271,1367,571,116,38.5466,B,38.8559,B,33.8949,Dist,34.385,Dist,85.195,87.569,87.198,1044,38.0811,B-,21.169,31.13,1044,19.923,551,21.053,993,57.503,422,4.739,22,6.0455,L2Merit
202021,Academic year,National,E92000001,England,Final,Female,Unknown disadvantaged status,All,All,5892,2221,1710,1848,522,129,40.5221,B,40.6004,B,32.9312,Dist-,32.1209,Dist-,68.438,67.719,68.128,1029,41.5808,B,28.28,42.177,1029,27.405,760,16.974,1141,45.749,620,6.29,42,6.175,L2Merit+
202425,Academic year,National,E92000001,England,Provisional,Male,Unknown disadvantaged status,All,All,13734,2833,1659,1775,1275,244,31.5565,C,31.555,C,28.0444,Merit+,29.9424,Merit+,73.456,75.105,72.507,1164,32.1707,C+,13.918,20.962,1164,17.955,1002,24.351,2027,64.184,1587,6.112,109,5.7209,L2Merit-
202324,Academic year,National,E92000001,England,Revised,Male,Unknown disadvantaged status,All,All,11544,2851,1742,1845,1070,238,32.3213,C+,32.2289,C+,28.319,Merit+,30.5116,Dist-,72.887,75.144,73.604,1259,32.772,C+,15.727,24.384,1259,19.778,843,28.233,1686,64.887,1202,6.489,86,5.719,L2Merit-
202223,Academic year,National,E92000001,England,Revised,Male,Unknown disadvantaged status,All,All,9182,1817,1163,1234,673,141,34.9224,C+,34.9252,C+,28.0998,Merit+,30.7227,Dist-,78.206,82.631,81.118,893,35.7148,B-,18.253,26.876,893,23.068,588,23.98,1137,60.334,886,4.853,48,5.6425,L2Merit-
202122,Academic year,National,E92000001,England,Revised,Male,Unknown disadvantaged status,All,All,7979,1485,951,1016,536,140,37.1454,B-,37.3238,B-,30.6319,Dist-,30.8044,Dist-,82.963,84.332,83.465,751,36.8664,B-,23.169,33.955,751,25.832,503,27.833,882,60.771,515,6.019,31,5.7644,L2Merit-
202021,Academic year,National,E92000001,England,Final,Male,Unknown disadvantaged status,All,All,6854,1676,1205,1302,451,133,38.3187,B-,38.3984,B,28.9085,Merit+,31.4234,Dist-,70.346,72.033,70.43,796,38.4925,B,22.111,32.035,796,25.126,782,17.008,1103,42.248,645,5.581,39,5.6092,L2Merit-
202425,Academic year,National,E92000001,England,Provisional,All,All,Any other ethnic group,All,11680,8245,6139,6274,3162,363,34.1809,C+,34.1972,C+,29.4545,Merit+,29.0647,Merit+,92.468,85.959,84.858,4837,34.7529,C+,13.996,22.121,4837,18.069,1173,30.946,3933,81.414,1100,6,80,5.1498,L2Pass
202324,Academic year,National,E92000001,England,Revised,All,All,Any other ethnic group,All,11160,8173,6102,6224,2952,416,33.4077,C+,33.4079,C+,28.1626,Merit+,28.7231,Merit+,91.912,85.759,84.688,4826,34.0579,C+,13.386,21.343,4826,17.136,1198,34.725,3707,81.252,1027,5.161,72,5.2605,L2Pass+
202223,Academic year,National,E92000001,England,Revised,All,All,Any other ethnic group,All,10479,7604,5677,5800,2827,386,33.0124,C+,33.0937,C+,29.1143,Merit+,27.3809,Merit+,93.227,86.701,85.466,4520,33.472,C+,11.394,19.58,4520,15.553,1076,35.874,3492,81.701,579,3.972,23,5.1782,L2Pass+
202122,Academic year,National,E92000001,England,Revised,All,All,Any other ethnic group,All,9967,7185,5281,5396,2687,410,36.6904,B-,36.7334,B-,30.5868,Dist-,30.636,Dist-,95.491,87.749,86.527,4174,37.0388,B-,18.424,28.174,4174,21.107,1039,39.461,3294,81.603,234,5.556,13,6.3061,L2Merit+
202021,Academic year,National,E92000001,England,Final,All,All,Any other ethnic group,All,7696,5656,4644,4759,1589,248,39.792,B,39.8044,B,32.0605,Dist-,32.7826,Dist-,92.839,88.006,86.657,3826,39.6794,B,23.393,35.102,3826,26.973,1473,16.904,2759,58.536,426,6.338,42,5.1033,L2Pass
202425,Academic year,National,E92000001,England,Provisional,Female,All,Any other ethnic group,All,5649,4319,3352,3411,1616,100,34.3718,C+,34.4294,C+,30.3835,Dist-,29.8927,Merit+,93.725,86.814,85.811,2621,34.8404,C+,11.751,20.145,2621,15.3,534,18.727,2005,80.848,473,3.805,22,5.1494,L2Pass
202324,Academic year,National,E92000001,England,Revised,Female,All,Any other ethnic group,All,5329,4138,3253,3301,1465,111,33.8452,C+,33.8826,C+,29.2263,Merit+,30.2535,Dist-,94.321,86.72,86.065,2561,34.4527,C+,12.339,20.461,2561,14.877,495,22.424,1813,81.081,432,3.241,20,5.6776,L2Merit-
202223,Academic year,National,E92000001,England,Revised,Female,All,Any other ethnic group,All,5063,3990,3139,3189,1439,94,33.2747,C+,33.3538,C+,29.9166,Merit+,26.5456,Merit,94.211,86.97,86.046,2490,33.6466,C+,10.643,18.233,2490,13.454,424,22.17,1746,82.532,195,3.077,c,c,c
202122,Academic year,National,E92000001,England,Revised,Female,All,Any other ethnic group,All,4854,3798,2957,3000,1337,113,36.9196,B-,36.9954,B-,31.2165,Dist-,30.3063,Dist-,96.288,89.144,88.4,2366,37.0752,B-,15.723,26.331,2366,17.794,398,28.392,1609,83.095,87,8.046,7,6.1607,L2Merit
202021,Academic year,National,E92000001,England,Final,Female,All,Any other ethnic group,All,3866,3060,2596,2652,825,93,40.3672,B,40.3883,B,33.4964,Dist,32.042,Dist-,93.987,87.789,86.538,2139,40.0873,B,22.534,35.437,2139,24.731,663,14.027,1355,61.255,167,6.587,16,4.8534,L2Pass
202425,Academic year,National,E92000001,England,Provisional,Male,All,Any other ethnic group,All,6031,3926,2787,2863,1546,263,33.9545,C+,33.9229,C+,28.4984,Merit+,28.7454,Merit+,91.085,84.93,83.723,2216,34.6495,C+,16.652,24.458,2216,21.345,639,41.158,1928,82.002,627,7.656,58,5.15,L2Pass
202324,Academic year,National,E92000001,England,Revised,Male,All,Any other ethnic group,All,5831,4035,2849,2923,1487,305,32.9117,C+,32.8702,C+,27.1369,Merit+,28.1515,Merit+,89.442,84.661,83.134,2265,33.6115,C+,14.57,22.34,2265,19.691,703,43.385,1894,81.415,595,6.555,52,5.0892,L2Pass
202223,Academic year,National,E92000001,England,Revised,Male,All,Any other ethnic group,All,5416,3614,2538,2611,1388,292,32.6924,C+,32.7781,C+,28.3112,Merit+,27.6518,Merit+,92.142,86.367,84.757,2030,33.2578,C+,12.315,21.232,2030,18.128,652,44.785,1746,80.871,384,4.427,17,5.2537,L2Pass+
202122,Academic year,National,E92000001,England,Revised,Male,All,Any other ethnic group,All,5113,3387,2324,2396,1350,297,36.3961,B-,36.3988,B-,29.9714,Merit+,30.7596,Dist-,94.597,85.972,84.182,1808,36.9912,B-,21.958,30.586,1808,25.442,641,46.334,1685,80.178,147,4.082,6,6.5,L2Dist-
202021,Academic year,National,E92000001,England,Final,Male,All,Any other ethnic group,All,3830,2596,2048,2107,764,155,39.0749,B,39.0773,B,30.5114,Dist-,33.2328,Dist-,91.487,88.281,86.806,1687,39.1622,B,24.481,34.677,1687,29.816,810,19.259,1404,55.912,259,6.178,26,5.2609,L2Pass+
202425,Academic year,National,E92000001,England,Provisional,All,Disadvantaged,Any other ethnic group,All,5018,3196,2142,2195,1478,169,31.8635,C+,31.8312,C+,29.1285,Merit+,28.6693,Merit+,90.05,82.866,81.185,1622,32.4003,C+,9.371,17.016,1622,13.132,526,32.129,1822,82.327,598,5.686,42,5.1902,L2Pass+
202324,Academic year,National,E92000001,England,Revised,All,Disadvantaged,Any other ethnic group,All,4675,3121,2104,2148,1346,174,31.2579,C,31.1942,C,27.8223,Merit+,27.2693,Merit+,90.932,83.888,82.635,1617,31.8986,C+,9.524,16.821,1617,13.544,525,33.143,1681,81.797,525,4.571,36,5.5564,L2Merit-
202223,Academic year,National,E92000001,England,Revised,All,Disadvantaged,Any other ethnic group,All,4333,2868,1957,2010,1250,173,30.6984,C,30.7225,C,28.6486,Merit+,26.4276,Merit,92.225,84.006,82.189,1503,31.2264,C,7.851,14.904,1503,10.912,465,37.204,1534,82.269,305,3.934,12,5.2065,L2Pass+
202122,Academic year,National,E92000001,England,Revised,All,Disadvantaged,Any other ethnic group,All,4119,2746,1820,1861,1223,194,34.8089,C+,34.789,C+,30.0241,Dist-,30.9921,Dist-,93.955,85.714,84.095,1379,35.3227,B-,15.809,23.785,1379,17.766,470,41.277,1490,82.081,119,5.042,6,6.8095,L2Dist-
202021,Academic year,National,E92000001,England,Final,All,Disadvantaged,Any other ethnic group,All,3214,2189,1701,1743,723,111,38.3815,B,38.3126,B-,31.4961,Dist-,31.5778,Dist-,91.046,86.008,84.223,1370,38.2165,B-,20,31.679,1370,23.431,674,16.469,1248,58.734,211,4.265,18,5.1639,L2Pass
